R-squared accuracy, MSE, Training Iterations, Loss
0.7766225542194235,0.003395825029334939,62,0.004097083930937534
0.7439799996628342,0.003690438839948756,60,0.004605029218410843
0.760852910607376,0.0035522553883800836,73,0.004313666400466784
0.7420520280060352,0.003906200306963122,54,0.004644933095890134
0.7494478418109944,0.0035322367095337037,40,0.004276309415839553
0.738188050356088,0.003709240365882077,70,0.004550582542838426
0.7455676553422717,0.0037046173468291634,64,0.004526976915381354
0.7332069532371117,0.003780323542387022,44,0.0047038506400314
0.7431885946902332,0.003660683243623344,45,0.004334253263435036
0.7612995211115153,0.0036714244647674337,61,0.00437819498590479
0.7561167863937082,0.003475433357017236,53,0.004175878976285235
0.7480044380344104,0.003585065139615281,49,0.004298127205979597
0.7607268393087281,0.0035741470840894244,47,0.004467418079878413
0.7378233791248179,0.0038418526169767923,59,0.0047519891015756635
0.7227809298961627,0.003911894597528856,55,0.005031818181071019
0.7525394223972512,0.0035674627426385153,45,0.004171400153252603
0.7552876085034617,0.003775483653447558,69,0.004590619337673308
0.7611818926870363,0.003401600462816864,31,0.004128290523960474
0.7693978043055834,0.003346445800297677,34,0.0040708385124155816
0.7926725969914552,0.003078093799056738,39,0.0036921379823352794
0.7346346090310348,0.003877029477479227,68,0.00477595022459114
0.7316008959647484,0.003917068236019034,34,0.004710002954329268
0.7155555036894239,0.003976762744581255,32,0.005027661590286812
0.6977530436332849,0.004488501464081123,91,0.005629075316909538
0.7859730624824791,0.0031337108654156064,42,0.0037568819469144823
0.7490906110739254,0.003569511455095817,60,0.004415768261298694
0.7555289969777286,0.0037926207791650138,46,0.004727088148489203
0.7346100969945935,0.003750651879585891,65,0.004609369734530003
0.7562720512126835,0.003620946271087445,71,0.004323602055492648
0.7350194224976901,0.004070798810485701,54,0.0048026258756595636
0.7773675269024598,0.003402733842535388,48,0.004092554643603075
0.7409072569960559,0.003646764604737542,37,0.0042698357170445275
0.7515378326996793,0.003670598026360538,84,0.004422738279674552
0.7743337104702446,0.0033123266323462908,38,0.003805338463711738
0.7399610176255744,0.0038500005312661705,73,0.00479222745117436
0.7435675204438572,0.003667814524401187,38,0.004425157788335672
0.7169565069771644,0.003881469247855343,63,0.004813823761313594
0.7715688931071011,0.003472943573118303,36,0.0042084819012506575
0.7505619284255781,0.003946800381409889,34,0.0037867547365999844
0.8154735333199382,0.003273732373329765,952,0.0018749888305049174
0.8081149521614888,0.0029900217927897005,519,0.00197906657698549
0.7865294335445256,0.0034123358319842188,492,0.0020142282483835653
